Gene_name	filter
ZNF302	-
PRDX5	-
AACS	-
GAPVD1	-
SAA1	-
SLC49A3	-
C5orf66	-
B4GAT1	-
ANKRD34B	-
GPR89B	-
CLSTN3	-
LINC01478	-
MIR4509-3	-
EIF3F	-
TEX51	-
SLFN12	-
THAP4	-
HECTD1	-
DDIT4L	-
ZNF536	-
VPS37C	-
ZNF729	-
ADPGK-AS1	-
RNF168	-
LINC01117	-
ARMCX4	-
GSTM5	-
SETX	-
LINC01230	-
ASH1L	-
MAGEE2	-
SOX7	-
PCDH20	-
MTIF3	-
EEF1A2	-
RUFY1	-
ARID3A	-
SEPTIN12	-
CDC42BPB	-
LINC02258	-
GYG2P1	-
RGPD5	-
PDE4DIPP1	-
SLC6A17	-
ANKRD34C-AS1	-
ARGFX	-
SNX10	-
BAGE	-
NEDD9	-
FAM71E2	-
ID3	-
GRIA2	-
ARRDC3-AS1	-
EIF3B	-
PTPN18	-
ATXN1L	-
TBC1D17	-
MIR4481	-
OR52N5	-
SUSD6	-
HLA-DQA2	-
GABRR1	-
ANKRD18A	-
TMEM50B	-
GSTA5	-
MIR11400	-
PPIL1	-
GBP6	-
CSKMT	-
PCDHA10	-
MAS1L	-
KDR	-
RBM11	-
OLFM4	-
HIRIP3	-
FLT4	-
TSPAN8	-
HSD3B2	-
MIR3680-2	-
SHANK1	-
TMEM243	-
LINC01629	-
PRSS46P	-
CELF2-AS1	-
GNAO1	-
MLLT10	-
CLCA1	-
PTPRB	-
BNIP3	-
ADPRM	-
LINC02106	-
LTBP4	-
IRAK1	-
ZNF876P	-
SSBP2	-
PPM1L	-
AFF1	-
RAD51AP2	-
MT4	-
ANKRD30B	-
VAV3	-
RHBDL3	-
MIR6891	-
OR52A5	-
CCNB1IP1	-
TEX12	-
TRPM8	-
PUS1	-
MRPL19	-
LYPD9P	-
MRTFA-AS1	-
ADTRP	-
ZNF273	-
IRF4	-
CSNK2B	-
FAM174C	-
LINC01910	-
LINC00460	-
DICER1-AS1	-
ATM	-
MIR518D	-
RAPGEF4-AS1	-
PRAMEF17	-
WDR92	-
ZNF860	-
ZRSR2	-
KCND3-AS1	-
USP3	-
ANKRD20A9P	-
LINC02214	-
GALNT4	-
NUPR1	-
PTPN21	-
LINC02724	-
EPB41L2	-
SLC39A6	-
C1orf229	-
IL1RL1	-
TECPR2	-
CFAP410	-
INPP4B	-
ADCY6	-
CCDC37-DT	-
CDC42BPG	-
MIR4804	-
ZCCHC24	-
LINC01446	-
LINC00999	-
COPG1	-
DHCR7	-
LINC01239	-
SRP54	-
CYP2B6	-
IL22RA2	-
LINC00954	-
CPHXL	-
ADIPOR2	-
EGR3	-
ARFGEF2	-
EPB41L3	-
DNM2	-
CHCHD4	-
CDK20	-
TMEM182	-
PABPN1L	-
SRRM2	-
C5orf49	-
XACT	-
C3AR1	-
KIAA0040	-
TUSC1	-
KRTAP3-3	-
ZNF584	-
SEPTIN9	-
ESAM	-
LINC00383	-
TMEM44-AS1	-
PET117	-
LINC01681	-
IL13	-
SNORA3C	-
LINC00941	-
HIVEP1	-
SFTPC	-
POGLUT2	-
LINC01617	-
ATP8A1	-
FCHSD2	-
FAM153A	-
LINC02429	-
NAA38	-
TBC1D25	-
NAT8B	-
INPP5B	-
ZBTB39	-
OR52E5	-
FLT3	-
IRAK1BP1	-
NPHS1	-
PXMP4	-
GNA12	-
OXNAD1	-
SOX9	-
FTMT	-
MDH1	-
SPATA16	-
AGL	-
GLIPR1L2	-
CFAP36	-
MAP4K3	-
OR10AD1	-
A2M	-
OR2C3	-
ST6GAL1	-
PPARGC1A	-
TOR3A	-
NKTR	-
MYO1E	-
NLGN4Y	-
OR5AS1	-
PPP2R3C	-
MIR1915HG	-
SLC44A2	-
LINC01170	-
OSR2	-
LINC02367	-
NUP62CL	-
LINC02538	-
ABCB7	-
PER2	-
PMEPA1	-
AKR1B15	-
STEAP3-AS1	-
RUNDC1	-
SERPINB13	-
CPOX	-
FTX	-
PRDM13	-
SCAPER	-
TARS2	-
LINC01987	-
ASAH2	-
KCNK13	-
ACTR8	-
ZNF658	-
SF3A2	-
ZNF708	-
TAS2R50	-
IRF3	-
CYBA	-
BEST1	-
LINC00868	-
TMEM61	-
ADAT3	-
FANCG	-
ZC3H3	-
ARHGAP22-IT1	-
MIR10527	-
GPX2	-
ARL11	-
EMC1	-
LRRC37A6P	-
SNX6	-
ACACB	-
UST	-
UCN	-
C1R	-
PLAGL1	-
ALDH1L1-AS2	-
CTAGE9	-
C3orf70	-
LINC01913	-
NDUFA6-DT	-
IFT43	-
ITGA6	-
DAB1	-
LINC00358	-
RNF25	-
PPP1R14C	-
ADORA3	-
MRPS34	-
LINC02565	-
LINC00333	-
ACOXL	-
IGFBP1	-
TPST2	-
LINC01792	-
PSRC1	-
LINC-ROR	-
LINC02264	-
ST3GAL4	-
LIPI	-
ITGA9-AS1	-
PTGES3L	-
NGDN	-
KLF4	-
SDCBP2	-
MRPS10	-
HLA-A	-
ANO2	-
SLC2A12	-
GPX8	-
LINC02451	-
TMEM26-AS1	-
ITIH1	-
NT5C1A	-
PPP2R2D	-
TNRC6B	-
CCDC71L	-
IL15RA	-
CCN4	-
CRNKL1	-
MIR6795	-
GASK1A	-
GRK6	-
CYB5R2	-
IGLL1	-
HDAC5	-
ZBP1	-
KIRREL2	-
LINC01925	-
MYL3	-
DDTL	-
MMP25	-
CLRN1-AS1	-
CDHR3	-
MR1	-
SIGLEC11	-
TSEN15	-
ELAVL1	-
PPP1R3G	-
GDPD5	-
ANXA2P2	-
LINC01634	-
TMPRSS7	-
LINC01561	-
C15orf54	-
LINC02287	-
CEPT1	-
SNORA86	-
SLAMF7	-
GTF3C1	-
TSPAN17	-
POLR2F	-
XRN2	-
C6orf201	-
CYP7B1	-
KLK7	-
LINC00601	-
BICDL2	-
SPRED1	-
FAM118A	-
PRKCG	-
SLC43A3	-
LINC00652	-
RPP40	-
LINC01290	-
ELSPBP1	-
SCARNA16	-
ZNF701	-
LINC02072	-
SERPINA4	-
GSTTP2	-
FLVCR2	-
MBD3L1	-
CD93	-
FAM106B	-
PCDHA1	-
SLC2A5	-
MAN2B2	-
KIAA1841	-
OR4L1	-
FAM157B	-
MOAP1	-
DEFA9P	-
TEX13C	-
MAPK10-AS1	-
KLK9	-
HERC2P3	-
TPTE2P6	-
NDST1	-
STK38L	-
MIR3188	-
OOSP1	-
PLEKHA7	-
LINC00504	-
SCML2	-
C10orf88	-
INKA2-AS1	-
ZFP91-CNTF	-
KRT16	-
MNX1-AS2	-
AKAP1	-
YTHDC1	-
NDUFAF6	-
SIGLEC6	-
ACOT6	-
C5orf66-AS1	-
LINC02348	-
TNS1	-
ARL2BP	-
LINC00399	-
ZNF862	-
PSMA8	-
LHX4-AS1	-
ARHGAP45	-
RPL13AP20	-
DLX5	-
FAM83H-AS1	-
ISOC1	-
TLR5	-
TMEM9B	-
PCK1	-
C8orf37-AS1	-
AGAP5	-
LINC01111	-
APOBEC2	-
KRT16P1	-
QSOX2	-
CNN2	-
DCTN1-AS1	-
ZNF141	-
FAM81B	-
ASXL1	-
TTC26	-
MRPL41	-
ACTR10	-
HCG22	-
NFKBIB	-
RAD54L	-
FRG2	-
SNTB1	-
LARP6	-
SVOP	-
BCL7A	-
MIR193BHG	-
BIRC8	-
SLIT2	-
TMEM225	-
DPEP3	-
HAGH	-
KRIT1	-
MAX	-
LCE1D	-
DAZL	-
SMLR1	-
MCOLN1	-
IRX4	-
ABCE1	-
ASH1L-AS1	-
CFAP47	-
FNIP2	-
NHSL1	-
SHLD2P3	-
MCCD1	-
ZNF326	-
UBE2F-SCLY	-
CPSF7	-
SECTM1	-
KCTD21	-
CBR1	-
APOL6	-
KRT80	-
CAPN12	-
FAM230H	-
RERG-AS1	-
LINC02055	-
AGBL2	-
CYLD	-
LINC02681	-
PKP2	-
PHF10	-
SAMMSON	-
NSMCE1-DT	-
TPPP	-
MIR137HG	-
OR2M1P	-
CRYZL2P-SEC16B	-
ALMS1-IT1	-
PDK2	-
ACTRT3	-
ZNF732	-
MYH3	-
CLTA	-
CHIA	-
PKN1	-
COG3	-
ALOX15B	-
PRSS42P	-
LINC01011	-
LINC01832	-
PCBP3	-
TMEM60	-
BAGE4	-
SPINK2	-
TRIM71	-
LINC02312	-
KIRREL1	-
GFRA1	-
CSNK1A1L	-
OBP2B	-
WDR4	-
SPATA46	-
TAF5L	-
TEX55	-
CPPED1	-
TPTEP2-CSNK1E	-
DMRT3	-
MIGA1	-
CTSLP8	-
AKAP7	-
SPANXN1	-
ZNF319	-
CYP2B7P	-
PRAMEF26	-
BRWD1	-
KLRC3	-
ITPKB-IT1	-
ZNF605	-
MPPED1	-
FRG1JP	-
KCTD17	-
LINC01985	-
RHNO1	-
RNA45SN3	-
AKAP17A	-
FEV	-
LINC02337	-
HCFC1	-
OR5T3	-
CLDN12	-
GCC2	-
PRR22	-
ZNF491	-
TAS2R19	-
ARR3	-
GOLGA8N	-
AKR1B10	-
LINC00381	-
LINC01761	-
LINC01257	-
ZNF818P	-
NFAM1	-
PTTG2	-
WDR3	-
DNM1P35	-
TMEM231	-
RBBP8NL	-
PDLIM7	-
FN3KRP	-
PRAG1	-
P3H4	-
LINC01195	-
ATP2B1	-
LINC00454	-
CCR2	-
C8orf86	-
GPN3	-
KAZALD1	-
MTERF3	-
ZFP69B	-
ATXN3	-
ENDOD1	-
AKAP6	-
PSMA3-AS1	-
WASHC3	-
CHRDL1	-
KRTAP2-1	-
CEP192	-
DLX2-DT	-
RARS2	-
SPINK9	-
RAD54L2	-
RPRD1B	-
OR5F1	-
LINC02584	-
PZP	-
HMGXB4	-
ACAA1	-
ZNF665	-
FAM170B	-
LINC02168	-
RPP21	-
RNU6-2	-
FOXM1	-
SDHAP2	-
SP140	-
MYLK-AS2	-
PTPN5	-
LINC02351	-
ZNF668	-
LINC02202	-
ANO3-AS1	-
ARL5C	-
TTTY22	-
SDHAF2	-
TUBG2	-
NOM1	-
SLC16A8	-
CRY1	-
MRPL23	-
TMEM177	-
SEC31B	-
UQCRC2	-
RPL21P44	-
CDK12	-
LINC00324	-
MRPL22	-
ANXA10	-
SNORD3E	-
LUCAT1	-
SPANXA2-OT1	-
LINC01030	-
NPEPL1	-
PRRT3	-
OR51I2	-
DGCR6L	-
EHMT2	-
REEP1	-
TYMSOS	-
ZFYVE9	-
SHCBP1L	-
TMEM9	-
TMEM213	-
IATPR	-
ZBTB3	-
LCMT2	-
SAXO2	-
NAAA	-
CSN1S2BP	-
KIAA2013	-
GSTT4	-
G6PD	-
CENPBD1P1	-
NPEPPS	-
ATP6V1B1-AS1	-
CASP1P2	-
MINDY4	-
HTR2A	-
LINC02110	-
ZDHHC5	-
NREP	-
RGL3	-
ZWILCH	-
GUCY2F	-
CAPN8	-
LINC02255	-
SPATA31A1	-
PRDX3	-
USP53	-
LINC02323	-
KIR3DL3	-
GCH1	-
ADAMTS9	-
DPP10-AS1	-
LINC02067	-
GUSBP5	-
LINC00700	-
SMAD3	-
DLGAP1-AS4	-
SPATA31C1	-
TBC1D22B	-
GNA11	-
MRTFA	-
ITGB1	-
STAU2	-
DHRS3	-
HTR2C	-
LDHAL6B	-
SAA2	-
LIMS2	-
MIR4653	-
STON2	-
ARMT1	-
LINC01145	-
AUH	-
CSNK1A1	-
MTSS2	-
RAB36	-
SMYD2	-
CDCP1	-
LYST	-
FBXO5	-
TM7SF2	-
CAGE1	-
SEPHS2	-
OR11L1	-
BGN	-
KRTAP4-7	-
CMBL	-
ROS1	-
DUS1L	-
PGBD1	-
LINC00588	-
NBPF6	-
ASPM	-
DPP6	-
LRCH3	-
SERPINC1	-
PACRG-AS1	-
INPP5A	-
FBLN1	-
NBEAL2	-
RNA45SN1	-
HBB	-
PSMB4	-
YIF1B	-
NPR1	-
PPP5D1	-
SELPLG	-
RAD54B	-
BHMT	-
IGFBP4	-
PLAUR	-
ACBD3	-
PCDH10	-
IFI35	-
MINPP1	-
NUBP2	-
CNNM1	-
LINC02648	-
MRTO4	-
LINC01335	-
EGFEM1P	-
GMDS-DT	-
CD3E	-
PRR23D1	-
ISL2	-
SRCAP	-
MIR1972-1	-
LINC02466	-
SPATA48	-
EXPH5	-
IGSF9B	-
RCC2	-
EDEM1	-
TNFRSF17	-
ZNF177	-
VPS9D1	-
KLRC1	-
GATD3A	-
PHYHD1	-
USP17L15	-
NDUFS4	-
RPE65	-
AP2S1	-
SLC24A4	-
GPR139	-
SNORD58C	-
HCG11	-
OR4X1	-
ARHGEF7	-
LINC02567	-
GJA1	-
SOX1-OT	-
ZBED3	-
CEP72	-
ZNF735	-
UAP1L1	-
SLC18A2	-
CHGB	-
MAN2A2	-
HTR2A-AS1	-
OSBPL1A	-
PFKFB3	-
ZNF101	-
BACE1	-
LINC00921	-
KRT12	-
SLF2	-
SH3BP5	-
LINC01163	-
IFT172	-
VAC14-AS1	-
DBNDD1	-
RNF31	-
CEBPD	-
PANX2	-
TSPYL6	-
SQLE	-
MTSS1	-
AFAP1L1	-
UGT1A8	-
LINC02480	-
PAPPA-AS1	-
SGO2	-
SDR16C6P	-
OR2J2	-
MTERF4	-
GDF9	-
CUL7	-
PLSCR3	-
OR56B1	-
KRT8P41	-
SBSPON	-
LINC00459	-
KIR3DL1	-
PRRX2	-
HULC	-
DNAJC11	-
TANGO6	-
HTT-AS	-
ITGAL	-
MIR6724-1	-
IMPA2	-
RSRC1	-
THTPA	-
TMEM215	-
CYB561D2	-
PLCXD2-AS1	-
C9orf24	-
LINC00926	-
UCHL1	-
LINC01873	-
FUT1	-
C1orf68	-
AP5M1	-
LINC01571	-
TNKS2	-
RCBTB1	-
WDR86	-
ANKRD17	-
FARS2	-
RPL14	-
HBG1	-
SLC9A9	-
FAM166B	-
TRIM52	-
ERI3	-
LILRB3	-
YEATS2-AS1	-
C12orf45	-
LINC02753	-
LINC-PINT	-
UGDH-AS1	-
PLA2G6	-
C4orf48	-
SNX7	-
RETSAT	-
GRM8	-
OR2G6	-
IDH1	-
GP1BA	-
GPATCH1	-
WFDC3	-
C5orf17	-
PURPL	-
NSUN5	-
PLCB1	-
PCDHB9	-
LINC01772	-
FAM169B	-
NUP210L	-
MAGEA4-AS1	-
OR51G2	-
MIR4286	-
LINC00839	-
TMEM238	-
CTBP1-DT	-
UPP2	-
CRTC1	-
PHLDB3	-
VMP1	-
FAM200A	-
TSEN54	-
CCDC137	-
BOP1	-
NSG2	-
COL14A1	-
TPSB2	-
CRPPA-AS1	-
PPID	-
PTGR2	-
POLD3	-
REG3A	-
CCDC14	-
HINT3	-
KCNJ2	-
MORC1	-
SIX6	-
LYRM2	-
SLC2A6	-
ZNF608	-
FGL2	-
CC2D2B	-
TENM3-AS1	-
OXLD1	-
CLCC1	-
LINC02188	-
MIR146A	-
ZFR2	-
CNTROB	-
DERPC	-
FAM220A	-
WASH3P	-
SMIM35	-
CHST8	-
EPM2A	-
ZNF287	-
ARVCF	-
LIN54	-
CTRB1	-
BCO2	-
LINC01848	-
SREBF2-AS1	-
FAM241A	-
GPAT2	-
FAM91A1	-
LINC02197	-
OR6Y1	-
LINC00901	-
CKM	-
DOCK7	-
ZNF799	-
CXCR5	-
ST13P4	-
BCAR4	-
AZU1	-
ATG5	-
IRF6	-
LINC00448	-
LINC01242	-
RGS19	-
SERPINF2	-
NGF	-
RPUSD2	-
IGF1	-
EHBP1	-
PODN	-
RHCG	-
IL11	-
SIRT4	-
LINC02130	-
BMS1P21	-
DEPTOR	-
PLIN4	-
OVOL1-AS1	-
ZNF767P	-
LSM11	-
AMZ1	-
CPSF2	-
TMEM191B	-
FOXB2	-
CAPN15	-
DACH2	-
POU6F2-AS2	-
SNORA70F	-
BICD1	-
MIR6839	-
SKP1P2	-
LINC01568	-
SPPL2C	-
CACNA1F	-
FABP6	-
LINC00189	-
TMEM233	-
KIZ-AS1	-
GGACT	-
NUFIP1	-
MIR4754	-
SNRNP27	-
LINC01074	-
SRGAP3-AS2	-
PKP4-AS1	-
LINC01695	-
TMEM132D	-
ZDHHC19	-
TTN	-
SERTAD1	-
SAR1B	-
CPNE1	-
OLA1	-
MATN2	-
PLEKHG1	-
LINC02124	-
NELFB	-
KCNK15	-
C17orf99	-
C4orf36	-
DGAT2	-
ITIH3	-
FBXO15	-
HEATR5A	-
MUC13	-
ETFA	-
ZNF606	-
BTNL10	-
ARF1	-
SIGLEC1	-
AKR7A3	-
ERLEC1	-
RNF5	-
KIAA0513	-
FAT3	-
PPP4R1L	-
NAA25	-
CLMAT3	-
OR4K15	-
PLEKHA8P1	-
HES2	-
ZNF92	-
IL27RA	-
ZNF816	-
VSTM5	-
RFX3-AS1	-
LRRC3	-
LINC01767	-
FBN2	-
ZFP69	-
LMCD1	-
NCRUPAR	-
MRPL57	-
OR2A1	-
PCDHB3	-
MAP3K20-AS1	-
VAX1	-
OR5H6	-
ELP4	-
AQP7P3	-
C11orf68	-
SELENOO	-
CFAP100	-
SPTBN1	-
BPESC1	-
LINC01393	-
HYDIN2	-
GABRA4	-
ZSCAN32	-
LINGO3	-
ETFB	-
MTX1	-
ANO9	-
OCLNP1	-
AP3B1	-
RFX5	-
CEP83-DT	-
ACVR1B	-
COLEC12	-
LINC00665	-
GABRB3	-
NDUFA11	-
FKBP9P1	-
GSAP	-
TMPRSS2	-
TBC1D22A-AS1	-
ZNF503-AS2	-
MOSPD2	-
DUXAP8	-
LINC00909	-
SPRR2C	-
TMEM132D-AS2	-
TAS2R13	-
SPRR3	-
SNORA29	-
CBWD6	-
TRIM67	-
TATDN1	-
FCRLB	-
COPS3	-
LINC02382	-
STARD7-AS1	-
SCLY	-
CD99L2	-
LINC01749	-
GLMP	-
NKX2-1-AS1	-
MAL2-AS1	-
VCY	-
ABHD16B	-
ASNSD1	-
PSAT1	-
VASN	-
FLT1	-
EPB41L1	-
TTLL4	-
TBATA	-
ZKSCAN7	-
PAPSS1	-
LCE3D	-
MIR3671	-
PBK	-
RPL13P5	-
CABYR	-
LINC02069	-
PLEKHG4B	-
ZNF662	-
WHAMMP3	-
TUT4	-
SRD5A2	-
CRB3	-
FNIP1	-
GMEB2	-
LINC02392	-
BOD1L1	-
LINC01305	-
SLC6A20	-
CCDC124	-
FSIP1	-
PPFIBP1	-
PSKH2	-
IZUMO2	-
LINC02245	-
FEM1B	-
PDSS2	-
INPPL1	-
PHETA1	-
CCDC185	-
TGM2	-
NFKB1	-
ZNF583	-
GPR137B	-
ZRANB1	-
CFAP53	-
OR13D1	-
FAM201A	-
GAGE2A	-
FN3K	-
COL18A1	-
MIR6780A	-
PIK3CD-AS2	-
LIVAR	-
IFNL3	-
EPHA10	-
CASC18	-
LCE6A	-
DNAJC22	-
NPFFR1	-
MIR618	-
ARMCX2	-
ZNF335	-
SNORD13	-
KDM6B	-
PRMT7	-
TEKT5	-
FOXG1-AS1	-
CYP1A2	-
ADCK5	-
DGKE	-
BCRP3	-
OR6Q1	-
TOB1	-
USP25	-
STX5	-
TMEM161B	-
ATP6AP1	-
MIR6859-1	-
LRPPRC	-
ZGRF1	-
TSBP1-AS1	-
LINC01650	-
WDR46	-
KLF16	-
CREB3L4	-
GNRH1	-
PPP2R5C	-
IFT80	-
PLIN5	-
CTAGE7P	-
MIR516B1	-
ACR	-
SEMA6A-AS2	-
MIR605	-
FAM135B	-
CCDC183-AS1	-
FOXQ1	-
AHCYL2	-
OR6K3	-
PCDH7	-
SHCBP1	-
SMIM2-AS1	-
XKR5	-
CHST3	-
DCC	-
TEX33	-
PSMF1	-
BAMBI	-
NIP7	-
MARCOL	-
ARPC4-TTLL3	-
TRHR	-
SHISAL2B	-
NOL11	-
USP32P2	-
GAS2L1	-
SMG5	-
THBS2	-
ZBTB38	-
ASGR2	-
SFT2D1	-
NXPE1	-
MRPL12	-
UTP15	-
FAM228A	-
MIR548AZ	-
PDCD6	-
CD38	-
LRRC2	-
KLHL5	-
SLC17A4	-
LINC01847	-
ZNF320	-
JPH3	-
MLLT1	-
GOLGA6L17P	-
SPAAR	-
SCGB1C1	-
LINC02483	-
ANKRD44	-
TM9SF2	-
BASP1P1	-
RCOR2	-
LINC02513	-
LINC02046	-
MSRA	-
XPNPEP2	-
AGBL3	-
PARP2	-
EME1	-
HAVCR1P1	-
FAM182A	-
LMO2	-
SLC22A8	-
ASB4	-
EHD3	-
ASZ1	-
DDX53	-
SNRPD3	-
UNC45B	-
MEX3A	-
KIF16B	-
LINC01594	-
MYO10	-
UBE4B	-
DEFB122	-
LINC00319	-
LINC01351	-
SGK3	-
EXOSC3	-
RGCC	-
ANKS1A	-
LINC01304	-
PRSS37	-
BOK	-
LINC00301	-
RASSF3	-
FMR1-AS1	-
HSDL1	-
SIMC1	-
BCL2A1	-
TMEM163	-
DNAJC30	-
KCNIP4	-
LINC00254	-
LINC00919	-
CLIP1-AS1	-
LINC01534	-
CYP4Z1	-
DOP1A	-
PACSIN1	-
XRCC2	-
DPF1	-
NXN	-
HNRNPKP3	-
INHA	-
NCOA2	-
SMPDL3B	-
DDR2	-
CYP4F12	-
CEP55	-
DEFA10P	-
PRC1-AS1	-
MYO3B	-
DNASE1L3	-
LEPROT	-
OPCML	-
SRSF12	-
SMG1P5	-
ACTN1	-
OR4Q3	-
IL10RA	-
WDR86-AS1	-
RBM20	-
ROBO3	-
C21orf91-OT1	-
CARHSP1	-
PI4KA	-
MIR8060	-
ESD	-
TMEM239	-
PREX2	-
VPS37A	-
FUT6	-
LCE3C	-
GAS6-AS1	-
FAM183BP	-
HSP90AA1	-
LINC01692	-
SERTAD4-AS1	-
NPY6R	-
PLXNA2	-
TNRC6A	-
CRYGN	-
NBPF18P	-
FKRP	-
ALDH8A1	-
MIR99AHG	-
FXR1	-
SAMSN1-AS1	-
MLF1	-
OLFM5P	-
TOM1L1	-
ODR4	-
ZNF295-AS1	-
MIR590	-
TGM7	-
LINC02231	-
LINC01087	-
SNAPC1	-
CXorf56	-
TMBIM1	-
PRR29	-
OR2F2	-
RALGPS2	-
ZNF521	-
RIOX1	-
CHAD	-
LINC01713	-
DSTNP2	-
OR52N1	-
BPNT1	-
FAM71F2	-
FAM85A	-
KIR2DL1	-
MRPL58	-
UTP4	-
CCDC26	-
GLRX3	-
SNX18	-
C22orf31	-
KRTAP10-12	-
MRPS18A	-
CTSLP2	-
DBF4	-
TMEM75	-
TMEM161A	-
RAB44	-
FAM47E	-
GRM5-AS1	-
CDC34	-
MPEG1	-
ADRB3	-
SERPINA1	-
QPCTL	-
C12orf43	-
SQOR	-
BMP3	-
ST6GALNAC5	-
LINC00526	-
SCG5	-
HES4	-
LINC02103	-
PLPPR3	-
LZTS3	-
AHNAK2	-
G6PC2	-
NCOR2	-
CETN1	-
PDE6C	-
ADCY6-DT	-
LINC00114	-
LINC01299	-
MMAA	-
LINC01209	-
SEMA6C	-
ATE1-AS1	-
GCNT2	-
GJA8	-
COL18A1-AS2	-
OR7A10	-
TRAF4	-
LALBA	-
EXD2	-
LINC00184	-
DNAJB13	-
LINC02223	-
MAB21L4	-
LRRC55	-
PROKR1	-
ABCG8	-
OR5AK2	-
DCUN1D1	-
ZNF137P	-
PPIAL4D	-
RMND5B	-
GMPR2	-
NOP58	-
SPATA31D1	-
UGDH	-
ZKSCAN5	-
OR10G3	-
STK24	-
IZUMO1	-
RNA18SN1	-
HAND2	-
VSTM2L	-
CACNA1C	-
TPP1	-
SPINDOC	-
C1QTNF6	-
ELFN1	-
LINC02454	-
RBFOX3	-
SULT1C2P1	-
TSPAN32	-
KIF1A	-
VCAN	-
LRRC37A4P	-
ALPK1	-
KLRC4	-
ARMCX5-GPRASP2	-
KRT71	-
MBD6	-
CDAN1	-
CP	-
ACSM2B	-
PPP1R26-AS1	-
TCP10L	-
PFDN1	-
UTS2R	-
OR4D2	-
DDX12P	-
LINC01416	-
MVB12B	-
NEURL4	-
LINC02514	-
FAM114A2	-
TJP1	-
USP12-AS2	-
GYPE	-
ZFX-AS1	-
OTOL1	-
C11orf91	-
JAKMIP3	-
MIR1972-2	-
LINC00528	-
LZTS1-AS1	-
SLC25A10	-
TRIM49	-
FMO3	-
LINC00674	-
MIS18BP1	-
VLDLR	-
LINC00885	-
APBA1	-
RGL4	-
TAS2R30	-
ATP6AP2	-
CSRNP3	-
OR13J1	-
LENG8-AS1	-
ZFYVE26	-
LINC01501	-
SCAT8	-
IQCM	-
LINC01639	-
VCAM1	-
HLX	-
USP33	-
GPR162	-
PARP15	-
EGLN2	-
CD300LF	-
LINC01969	-
LINC02656	-
LINC00940	-
NDUFAF4P1	-
AQP11	-
ABHD17C	-
HYLS1	-
VNN3	-
LINC01592	-
STAG3L2	-
ARHGEF25	-
UBXN7	-
VTN	-
SLC12A3	-
SRP19	-
BTG3-AS1	-
IGSF11	-
CIAO3	-
KRT4	-
FRG1FP	-
TMEM221	-
LINC00208	-
LINC01486	-
OAZ3	-
MXI1	-
KRTAP7-1	-
MGST1	-
PCF11	-
RPS6KA2	-
KCNK16	-
PRKG1-AS1	-
OR4K14	-
SLC5A7	-
ITGB2	-
MAP10	-
PER3	-
HGFAC	-
MICALL2	-
GLYCTK	-
NCKAP5-AS1	-
LINC00525	-
WBP1L	-
LINC02098	-
NSMCE2	-
SLC16A1-AS1	-
TNFRSF6B	-
CYP4B1	-
PPFIBP2	-
SHISA9	-
DNAJB8	-
FASTK	-
DAAM2	-
EID1	-
STK36	-
CMA1	-
SAV1	-
KRT7-AS	-
AP3M1	-
PRKCA-AS1	-
ZNF717	-
EFHD1	-
EIF2B5	-
SUPT20HL2	-
SNX25	-
UBE2E1-AS1	-
SCN8A	-
CABLES1	-
RBCK1	-
ARID4A	-
DUSP28	-
HSPA14	-
DNAJC5	-
PCDHA5	-
PPM1H	-
BRICD5	-
SCN2A	-
TMEM202	-
ARF3	-
CDIPTOSP	-
OR51A4	-
ENC1	-
TMEM216	-
FGD2	-
SPATA2	-
MADCAM1	-
LPA	-
CELA3A	-
PRICKLE4	-
MIR4511	-
MOB2	-
LINC01047	-
BLNK	-
C13orf42	-
CLEC16A	-
PAX8-AS1	-
VCX	-
PEX5	-
GC	-
COPE	-
SLC26A9-AS1	-
LINC00857	-
LINC02032	-
SATB1-AS1	-
MFSD10	-
ZNF653	-
LINC00313	-
PPP6R2	-
DDX11L2	-
VN1R2	-
INTS6	-
CHRDL2	-
FAM200B	-
MAGEA1	-
RNF148	-
GLRX2	-
FATE1	-
BRD2	-
MIR2467	-
COMMD5	-
OR51J1	-
SLC35B3	-
NUP98	-
SLC13A3	-
LINC02350	-
TCFL5	-
FAM230E	-
B3GALT5-AS1	-
ZNF846	-
LINC01273	-
ACBD6	-
MATN1-AS1	-
CHRD	-
CNTNAP5	-
DLL3	-
CYP3A5	-
ARLNC1	-
EEF1AKMT4	-
COL4A1	-
LINC02240	-
TEX26-AS1	-
PCDHB13	-
NCBP3	-
PPP1R15B	-
NTN5	-
SOD3	-
NWD2	-
GLRX	-
UQCRB	-
LRRC8A	-
HAVCR1	-
CTRC	-
GATC	-
NEUROG2	-
TVP23C-CDRT4	-
FLII	-
ZMAT1	-
DUSP13	-
ZNF8	-
FCAMR	-
NUP88	-
POLR2E	-
LINC01185	-
SMIM8	-
FAM87A	-
OR2L3	-
ARHGAP12	-
GORASP2	-
SNAI1	-
TPTE2P1	-
FAM74A3	-
WDR91	-
DUOXA2	-
LIAS	-
MAPK8IP2	-
NPIPB13	-
LINC00052	-
CST9L	-
FAM71F1	-
LINC00563	-
ACVR2B	-
USP17L11	-
PDYN-AS1	-
BORCS7-ASMT	-
TTC25	-
LINC02236	-
CNBD1	-
DCUN1D3	-
GLYATL3	-
SFTPB	-
PES1	-
LPP	-
CYHR1	-
CSE1L-AS1	-
TUBB8B	-
LINC02746	-
GPANK1	-
LCN15	-
CHAT	-
